num_innings_1B,UZR_1B,playerid
300.2,0.5,9929
258.2,0.7,18365
17.0,0.6,15878
55.1,0.2,18316
9.1,0.4,19931
92.0,0.8,18819
113.0,-0.4,5497
46.2,0.3,18360
68.1,1.1,19238
131.2,1.3,15279
89.0,0.9,18482
11.1,,16403
116.0,0.2,17710
7.0,0.2,14453
84.1,0.2,13369
7.0,-0.3,14968
33.0,0.9,16448
127.1,-0.3,10815
6.0,0.0,15170
28.0,0.3,21560
16.0,0.3,19318
4.0,,16593
2.0,,2900
5.0,,12779
2.0,,16729
6.1,0.2,14145
7.0,0.2,2434
98.1,-0.3,10322
6.0,,18142
3.2,,13836
25.2,0.2,11241
3.0,,7007
16.0,0.1,13329
0.0,,7927
0.1,,11579
0.1,,13325
0.1,,15055
8.0,0.2,14103
1.0,,6609
1.0,,11205
1.0,,11899
1.0,,12977
1.0,0.0,13723
1.0,,15271
1.0,,17326
1.0,,18882
1.0,,19181
1.0,,21646
213.2,1.4,20325
1.2,,19197
4.0,0.0,10200
4.0,,5409
2.0,,14111
2.0,,11445
2.0,,13167
2.0,,13807
2.0,,14140
2.0,0.0,14950
2.0,,17468
2.0,,19514
122.1,0.8,15117
2.2,0.0,6547
2.2,0.0,16434
4.0,,12510
4.0,-0.8,17423
28.0,,14388
8.0,,5751
4.1,,19331
5.0,,18433
5.0,,20242
5.1,,16098
6.0,,14942
8.0,,6938
8.0,,12179
9.0,,10655
9.0,,15941
61.0,0.4,3086
9.0,0.0,6887
0.0,0.0,12092
55.0,-0.5,21558
32.1,0.0,785
97.1,-0.8,18839
87.0,0.2,19533
9.0,0.0,19890
45.0,0.2,12859
5.0,,14387
94.0,0.1,15937
34.0,0.2,14885
14.0,-0.3,11615
107.1,0.6,16424
36.0,-0.5,19683
2.0,-0.2,9774
354.0,1.5,15194
23.0,-0.1,14813
62.0,-0.4,11936
20.0,,15998
9.0,-0.9,15161
8.0,0.1,18881
17.0,-0.9,12180
13.0,,16686
156.2,0.4,15585
17.2,0.1,19961
0.1,-0.3,20493
57.0,0.5,4892
102.1,-1.2,12325
101.1,0.1,16572
17.0,0.2,19844
56.2,0.5,17321
27.0,0.0,3298
38.0,0.0,15654
171.0,0.8,10953
23.0,0.2,17750
188.2,1.0,27459
34.0,-0.1,19252
146.2,0.0,17988
171.1,0.3,18036
34.1,-0.4,21618
39.0,-0.1,15905
200.2,0.2,15608
81.0,0.1,19901
65.0,-0.6,11739
70.2,0.4,15653
99.2,-0.3,26197
181.2,-1.1,5827
84.0,0.1,9892
124.2,-0.6,16885
50.0,1.4,9393
14.0,-0.5,17893
68.0,0.6,14555
53.2,-0.1,11368
117.0,-0.8,16442
111.2,-0.8,15767
30.1,,18171
9.0,0.0,12160
237.2,0.7,20078
87.1,0.7,16271
90.0,-0.1,8090
73.2,0.0,13602
191.0,-0.8,18126
92.0,0.0,15429
65.0,0.4,14567
135.1,-0.2,12950
321.0,1.7,9874
122.1,0.5,4962
67.0,0.0,14503
901.0,2.9,13301
77.2,0.4,14691
126.0,0.2,6153
340.1,1.0,14773
4.0,-0.3,5000
107.2,-1.5,11982
368.2,-0.2,19892
357.0,-0.1,20003
140.0,-0.5,19267
162.1,-1.2,24655
603.2,0.7,16578
75.0,-0.7,16478
237.2,0.3,16852
400.2,1.3,4220
392.0,1.0,12775
367.1,-0.9,1744
764.2,1.1,10264
905.2,-1.4,11265
344.1,0.2,14811
866.0,2.3,13419
543.0,1.4,17278
506.1,-1.1,1177
983.0,-2.2,13145
407.2,0.0,14130
641.0,0.2,15149
587.1,-1.4,5452
429.1,0.2,15351
1190.0,0.1,3473
962.1,-0.2,11342
1313.0,3.5,9218
915.0,3.0,17982
485.1,-2.0,15679
669.0,-2.2,16909
1042.2,0.2,4314
854.2,2.5,16472
1358.0,-1.0,5361
1243.2,-1.7,19251
704.0,2.0,18373
1167.0,1.6,2396
1153.0,1.4,15676
1113.1,-5.1,3516
1095.0,-0.6,12546
1338.2,1.4,14344
1222.0,-0.1,19198
1143.2,1.8,19611
1065.0,0.7,18607
996.0,-6.4,12164
969.1,-2.9,19966
1269.1,-4.2,19566
