num_innings_3B,UZR_3B,playerid
1314.2,8.7,16505
766.1,6.0,18577
1141.0,5.9,13510
848.2,6.1,15112
1312.0,5.7,9777
1302.2,3.7,9785
572.2,3.4,13602
248.0,1.7,15937
1238.1,5.1,11493
766.0,-0.2,13853
551.2,6.1,19997
1182.1,6.0,17232
354.1,2.9,11400
282.0,1.9,13369
516.0,-0.4,3298
1173.2,-1.7,5235
782.2,-0.2,17678
175.0,0.2,13769
529.0,1.6,15402
761.0,-6.2,5038
554.2,2.5,18289
81.0,-0.3,8418
294.0,-0.8,11902
136.2,1.2,8202
1237.2,-6.1,13621
48.0,0.7,18042
120.0,0.3,14773
715.0,-2.2,4579
662.0,-2.8,17468
140.0,1.9,12758
112.1,1.7,20352
263.1,0.7,19844
154.1,2.1,6609
452.1,5.1,16885
886.0,0.9,12552
65.0,0.0,19392
430.2,-2.4,5827
247.0,0.9,12282
610.2,-0.5,9368
62.0,1.6,22275
61.0,0.4,18027
31.0,0.8,16271
43.0,0.7,19909
87.0,1.6,14103
71.0,-0.3,20036
101.2,0.4,12950
34.0,0.5,19635
75.0,0.5,18795
18.0,0.4,13185
416.0,3.1,13836
33.0,0.2,13254
36.0,0.4,16593
70.1,0.8,16404
27.2,0.3,11241
129.2,0.9,16357
32.2,-0.2,19931
78.0,1.1,20242
76.0,0.5,12325
173.0,0.3,14593
19.1,-0.3,13325
489.1,-1.3,4962
833.2,-1.0,21618
19.0,0.1,19293
29.1,0.1,17321
165.2,1.7,27506
44.0,0.3,19961
31.1,0.4,17022
32.0,0.2,12371
37.2,-0.2,8090
18.0,0.3,785
15.0,0.2,19562
16.0,0.0,12399
2.0,0.0,15905
10.0,0.2,11338
9.0,0.4,20275
27.0,0.0,15878
95.1,-0.2,6547
242.1,2.4,19432
154.1,-0.8,16451
516.1,1.7,9345
2.0,0.3,15971
2.0,0.0,11342
20.0,-0.4,23559
6.0,,12779
5.0,0.1,15362
87.2,-0.2,19331
32.0,-0.3,21987
25.1,0.0,15994
3.0,0.0,14515
17.0,-0.4,16417
5.1,0.1,17975
9.1,-0.2,14885
11.0,0.1,18889
1.0,,11265
27.1,0.0,13301
107.2,0.0,15730
7.0,,22458
5.2,0.0,14555
3.0,,10030
2.0,,14950
2.0,-0.1,14968
2.0,,13755
2.0,,19198
2.0,,19611
2.0,,22871
1.1,,17919
1.0,-0.2,11609
1.0,-0.1,5273
1.0,,1177
1.0,,5409
1.0,,16424
1.0,,19452
1.0,,19928
0.1,,15676
0.1,,21479
0.0,,17326
47.1,-0.6,13593
8.0,-0.1,19262
19.0,-0.5,16426
1.0,0.2,19566
18.0,-0.2,6938
80.0,0.2,5497
414.2,-1.1,18568
46.0,0.0,18316
1.0,,16909
27.0,0.1,14140
3.0,-0.3,4418
85.2,-0.3,18819
74.0,0.4,5913
40.0,0.4,11615
819.2,2.0,12179
299.0,-0.8,9874
51.1,-0.6,16530
66.0,-0.7,19734
25.2,0.2,21562
2.0,,19197
2.0,,16337
24.1,-0.1,17750
110.0,1.1,13329
9.0,-0.6,14556
140.1,0.0,19683
9.2,,19314
10.0,-0.4,17684
4.0,,9774
2.2,-0.6,19521
95.0,-0.9,14320
38.1,0.4,12775
65.2,-0.3,14813
27.0,0.7,17273
336.0,-2.2,12037
6.0,-1.2,19955
36.0,-0.8,7927
39.0,-0.6,17982
34.2,-0.5,24655
37.0,-2.1,12164
10.0,-0.5,26197
382.2,-0.3,16219
209.2,-2.0,10953
754.2,0.9,10681
767.1,1.7,6153
94.0,-0.9,14691
52.0,-1.1,19966
11.0,,17710
443.1,-0.9,16578
1326.2,-7.0,18360
411.2,-3.0,19252
15.1,-0.7,21127
748.0,-4.8,10071
204.2,-2.1,15608
75.1,-0.4,14145
386.0,1.2,15429
60.0,-0.8,13324
34.1,0.3,15191
508.1,1.4,16622
102.0,0.4,13167
81.0,-1.2,13757
222.1,-3.6,19890
62.0,-1.9,23667
144.1,-2.6,16959
278.2,-2.7,17922
360.0,-0.4,11982
83.0,-2.5,19858
120.2,-0.8,16686
349.1,-3.5,4892
137.1,-1.1,19873
226.0,-3.2,11936
497.0,-0.2,12861
182.2,-3.1,15170
422.2,-2.3,15117
1299.0,-5.5,17350
507.1,-4.1,19958
